Temperature,pH,Time
26.25,6.95,8/10/2024 15:20
26.19,6.95,8/10/2024 15:21
26.19,6.94,8/10/2024 15:21
26.25,6.95,8/10/2024 15:22
26.19,6.96,8/10/2024 15:23
26.25,6.94,8/10/2024 15:24
26.25,6.96,8/10/2024 15:25
26.25,6.94,8/10/2024 15:26
26.25,6.95,8/10/2024 15:26
26.19,6.95,8/10/2024 15:27
26.25,6.95,8/10/2024 15:29
26.25,6.95,8/10/2024 15:30
26.25,6.94,8/10/2024 15:31
26.19,6.95,8/10/2024 15:31
26.25,6.95,8/10/2024 15:32
26.19,6.95,8/10/2024 15:33
26.19,6.95,8/10/2024 15:34
26.13,6.96,8/10/2024 15:35
26.19,6.94,8/10/2024 15:35
26.19,6.97,8/10/2024 15:36
26.13,6.94,8/10/2024 15:37
26.19,6.94,8/10/2024 15:38
26.19,6.95,8/10/2024 15:39
26.19,6.95,8/10/2024 15:40
26.19,6.96,8/10/2024 15:40
26.13,6.95,8/10/2024 15:41
26.13,6.94,8/10/2024 15:42
26.19,6.94,8/10/2024 15:43
26.13,6.96,8/10/2024 15:44
26.13,6.96,8/10/2024 15:44
26.06,6.96,8/10/2024 15:45
26.13,6.95,8/10/2024 15:46
26.06,6.95,8/10/2024 15:47
26.06,6.96,8/10/2024 15:48
26.06,6.94,8/10/2024 15:49
26.06,6.95,8/10/2024 15:49
26.06,6.94,8/10/2024 15:50
26.06,6.94,8/10/2024 15:51
26.13,6.94,8/10/2024 15:52
26.06,6.95,8/10/2024 15:53
26.06,6.95,8/10/2024 15:53
26.06,6.94,8/10/2024 15:54
26.06,6.95,8/10/2024 15:55
26.06,6.95,8/10/2024 15:56
26.06,6.95,8/10/2024 15:57
26,6.95,8/10/2024 15:57
26.06,6.94,8/10/2024 15:58
26,6.94,8/10/2024 15:59
26,6.95,8/10/2024 16:00
25.94,6.94,8/10/2024 16:01
26,6.94,8/10/2024 16:02
26,6.94,8/10/2024 16:02
25.94,6.94,8/10/2024 16:03
26,6.94,8/10/2024 16:04
25.94,6.95,8/10/2024 16:05
25.94,6.94,8/10/2024 16:06
25.94,6.95,8/10/2024 16:06
26,6.95,8/10/2024 16:07
25.94,6.94,8/10/2024 16:08
25.94,6.94,8/10/2024 16:09
25.94,6.94,8/10/2024 16:10
25.94,6.95,8/10/2024 16:11
25.94,6.95,8/10/2024 16:11
25.94,6.94,8/10/2024 16:12
25.94,6.96,8/10/2024 16:13
25.94,6.93,8/10/2024 16:14
25.88,6.94,8/10/2024 16:15
25.94,6.94,8/10/2024 16:15
25.94,6.94,8/10/2024 16:16
25.94,6.95,8/10/2024 16:17
25.88,6.94,8/10/2024 16:18
25.88,6.94,8/10/2024 16:19
25.88,6.96,8/10/2024 16:20
25.88,6.94,8/10/2024 16:20
25.88,6.95,8/10/2024 16:21
25.88,6.95,8/10/2024 16:22
25.88,6.94,8/10/2024 16:23
25.88,6.94,8/10/2024 16:25
25.75,6.94,8/10/2024 16:27
25.81,6.94,8/10/2024 16:27
25.75,6.94,8/10/2024 16:28
25.75,6.94,8/10/2024 16:29
25.81,6.95,8/10/2024 16:30
25.75,6.94,8/10/2024 16:31
25.81,6.94,8/10/2024 16:32
25.81,6.95,8/10/2024 16:32
25.75,6.94,8/10/2024 16:33
25.75,6.94,8/10/2024 16:34
25.75,6.94,8/10/2024 16:35
25.75,6.94,8/10/2024 16:36
25.69,6.94,8/10/2024 16:36
25.75,6.94,8/10/2024 16:37
25.75,6.94,8/10/2024 16:38
25.75,6.93,8/10/2024 16:39
25.75,6.94,8/10/2024 16:40
25.75,6.94,8/10/2024 16:41
25.69,6.94,8/10/2024 16:41
25.69,6.95,8/10/2024 16:42
25.69,6.94,8/10/2024 16:43
25.69,6.94,8/10/2024 16:44
25.75,6.94,8/10/2024 16:45
25.69,6.94,8/10/2024 16:45
25.69,6.95,8/10/2024 16:46
25.69,6.94,8/10/2024 16:47
25.69,6.94,8/10/2024 16:48
25.63,6.94,8/10/2024 16:49
25.63,6.94,8/10/2024 16:49
25.63,6.93,8/10/2024 16:50
25.63,6.91,8/10/2024 16:51
25.63,6.88,8/10/2024 16:52
25.63,6.9,8/10/2024 16:53
25.63,6.88,8/10/2024 16:54
25.63,6.87,8/10/2024 16:54
25.63,6.88,8/10/2024 16:55
25.63,6.88,8/10/2024 16:56
25.63,6.88,8/10/2024 16:57
25.63,6.9,8/10/2024 16:58
25.56,6.9,8/10/2024 16:58
25.56,6.88,8/10/2024 16:59
25.56,6.9,8/10/2024 17:00
25.56,6.87,8/10/2024 17:01
25.5,6.86,8/10/2024 17:02
25.56,6.87,8/10/2024 17:03
25.56,6.89,8/10/2024 17:03
25.5,6.87,8/10/2024 17:04
25.56,6.87,8/10/2024 17:05
25.56,6.87,8/10/2024 17:06
25.5,6.88,8/10/2024 17:07
25.5,6.87,8/10/2024 17:07
25.5,6.88,8/10/2024 17:08
25.5,6.88,8/10/2024 17:09
25.5,6.87,8/10/2024 17:10
25.44,6.88,8/10/2024 17:11
25.5,6.88,8/10/2024 17:11
25.44,6.87,8/10/2024 17:12
25.5,6.88,8/10/2024 17:13
25.5,6.88,8/10/2024 17:14
25.44,6.87,8/10/2024 17:15
25.5,6.9,8/10/2024 17:16
25.5,6.87,8/10/2024 17:16
25.44,6.88,8/10/2024 17:17
25.44,6.86,8/10/2024 17:18
25.44,6.88,8/10/2024 17:19
25.5,6.87,8/10/2024 17:20
25.44,6.88,8/10/2024 17:20
25.44,6.86,8/10/2024 17:21
25.44,6.88,8/10/2024 17:22
25.38,6.86,8/10/2024 17:23
25.44,6.87,8/10/2024 17:24
25.38,6.88,8/10/2024 17:25
25.38,6.87,8/10/2024 17:25
25.38,6.87,8/10/2024 17:26
25.38,6.85,8/10/2024 17:27
25.38,6.87,8/10/2024 17:28
25.38,6.87,8/10/2024 17:29
25.38,6.86,8/10/2024 17:29
25.38,6.85,8/10/2024 17:30
25.38,6.86,8/10/2024 17:32
25.38,6.86,8/10/2024 17:32
25.31,6.85,8/10/2024 17:33
25.31,6.85,8/10/2024 17:34
25.38,6.86,8/10/2024 17:35
25.31,6.86,8/10/2024 17:36
25.31,6.87,8/10/2024 17:36
25.31,6.86,8/10/2024 17:37
25.31,6.86,8/10/2024 17:38
25.31,6.86,8/10/2024 17:39
25.31,6.84,8/10/2024 17:40
25.31,6.84,8/10/2024 17:41
25.31,6.86,8/10/2024 17:41
25.25,6.86,8/10/2024 17:42
25.25,6.86,8/10/2024 17:43
25.31,6.85,8/10/2024 17:44
25.25,6.86,8/10/2024 17:45
25.25,6.85,8/10/2024 17:45
25.25,6.84,8/10/2024 17:46
25.25,6.85,8/10/2024 17:47
25.25,6.86,8/10/2024 17:48
25.25,6.85,8/10/2024 17:49
25.25,6.84,8/10/2024 17:49
25.19,6.84,8/10/2024 17:50
25.25,6.84,8/10/2024 17:51
25.19,6.84,8/10/2024 17:52
25.25,6.84,8/10/2024 17:53
25.19,6.85,8/10/2024 17:54
25.19,6.83,8/10/2024 17:54
25.25,6.85,8/10/2024 17:55
25.25,6.84,8/10/2024 17:56
25.25,6.86,8/10/2024 17:57
25.13,6.82,8/10/2024 17:58
25.19,6.86,8/10/2024 17:58
25.19,6.85,8/10/2024 17:59
25.13,6.84,8/10/2024 18:00
25.19,6.84,8/10/2024 18:02
25.19,6.84,8/10/2024 18:02
25.13,6.83,8/10/2024 18:03
25.19,6.83,8/10/2024 18:04
25.13,6.84,8/10/2024 18:05
25.13,6.85,8/10/2024 18:06
25.06,6.85,8/10/2024 18:06
25.06,6.85,8/10/2024 18:07
25.13,6.83,8/10/2024 18:08
25.13,6.84,8/10/2024 18:09
25.13,6.83,8/10/2024 18:10
25.13,6.83,8/10/2024 18:11
25.13,6.85,8/10/2024 18:11
25.13,6.86,8/10/2024 18:12
25.06,6.86,8/10/2024 18:13
25.06,6.83,8/10/2024 18:14
25.06,6.85,8/10/2024 18:15
25.06,6.82,8/10/2024 18:15
25.06,6.84,8/10/2024 18:16
25,6.82,8/10/2024 18:17
25,6.84,8/10/2024 18:18
25,6.83,8/10/2024 18:19
25.06,6.84,8/10/2024 18:20
25,6.83,8/10/2024 18:20
25,6.83,8/10/2024 18:21
25,6.84,8/10/2024 18:22
25,6.84,8/10/2024 18:23
25,6.85,8/10/2024 18:24
25,6.86,8/10/2024 18:24
25,6.83,8/10/2024 18:25
25,6.83,8/10/2024 18:26
25,6.83,8/10/2024 18:27
25,6.83,8/10/2024 18:28
25,6.84,8/10/2024 18:28
24.94,6.83,8/10/2024 18:29
25,6.83,8/10/2024 18:30
24.94,6.83,8/10/2024 18:31
24.94,6.82,8/10/2024 18:32
24.94,6.82,8/10/2024 18:33
24.94,6.82,8/10/2024 18:33
24.94,6.82,8/10/2024 18:34
24.94,6.84,8/10/2024 18:35
24.88,6.84,8/10/2024 18:36
24.94,6.83,8/10/2024 18:37
24.88,6.83,8/10/2024 18:37
24.88,6.79,8/10/2024 18:38
24.88,6.85,8/10/2024 18:39
24.88,6.83,8/10/2024 18:40
24.88,6.83,8/10/2024 18:41
24.88,6.84,8/10/2024 18:42
24.81,6.83,8/10/2024 18:42
24.88,6.83,8/10/2024 18:43
24.88,6.84,8/10/2024 18:44
24.81,6.79,8/10/2024 18:45
24.81,6.82,8/10/2024 18:46
24.88,6.82,8/10/2024 18:46
24.88,6.82,8/10/2024 18:47
24.81,6.79,8/10/2024 18:48
24.88,6.79,8/10/2024 18:49
24.81,6.82,8/10/2024 18:50
24.81,6.83,8/10/2024 18:50
24.81,6.83,8/10/2024 18:51
24.75,6.82,8/10/2024 18:52
24.81,6.83,8/10/2024 18:53
24.75,6.84,8/10/2024 18:54
24.81,6.83,8/10/2024 18:55
24.75,6.79,8/10/2024 18:55
24.75,6.79,8/10/2024 18:56
24.81,6.82,8/10/2024 18:57
24.75,6.83,8/10/2024 18:58
24.81,6.83,8/10/2024 18:59
24.81,6.83,8/10/2024 18:59
24.75,6.82,8/10/2024 19:00
24.75,6.83,8/10/2024 19:01
24.75,6.83,8/10/2024 19:02
24.75,6.79,8/10/2024 19:03
24.75,6.82,8/10/2024 19:04
24.75,6.82,8/10/2024 19:04
24.69,6.84,8/10/2024 19:05
24.75,6.82,8/10/2024 19:06
24.75,6.79,8/10/2024 19:07
24.69,6.82,8/10/2024 19:08
24.75,6.83,8/10/2024 19:08
24.69,6.82,8/10/2024 19:09
24.69,6.82,8/10/2024 19:10
24.69,6.84,8/10/2024 19:11
24.69,6.82,8/10/2024 19:12
24.69,6.83,8/10/2024 19:12
24.69,6.79,8/10/2024 19:13
24.69,6.83,8/10/2024 19:14
24.69,6.82,8/10/2024 19:15
24.75,6.82,8/10/2024 19:16
24.69,6.82,8/10/2024 19:17
24.69,6.83,8/10/2024 19:17
24.69,6.79,8/10/2024 19:18
24.63,6.82,8/10/2024 19:19
24.63,6.79,8/10/2024 19:20
24.63,6.82,8/10/2024 19:21
24.69,6.83,8/10/2024 19:21
24.63,6.79,8/10/2024 19:22
24.63,6.82,8/10/2024 19:23
24.63,6.81,8/10/2024 19:24
24.63,6.79,8/10/2024 19:25
24.63,6.79,8/10/2024 19:26
24.63,6.82,8/10/2024 19:26
24.63,6.82,8/10/2024 19:27
24.63,6.82,8/10/2024 19:28
24.63,6.82,8/10/2024 19:29
24.56,6.83,8/10/2024 19:30
24.56,6.82,8/10/2024 19:30
24.56,6.79,8/10/2024 19:31
24.56,6.78,8/10/2024 19:32
24.56,6.79,8/10/2024 19:33
24.5,6.83,8/10/2024 19:34
24.5,6.79,8/10/2024 19:34
24.56,6.78,8/10/2024 19:35
24.5,6.79,8/10/2024 19:36
24.56,6.82,8/10/2024 19:37
24.56,6.79,8/10/2024 19:38
24.56,6.8,8/10/2024 19:39
24.5,6.79,8/10/2024 19:39
24.5,6.79,8/10/2024 19:40
24.5,6.79,8/10/2024 19:41
24.56,6.79,8/10/2024 19:42
24.56,6.79,8/10/2024 19:43
24.5,6.82,8/10/2024 19:43
24.44,6.79,8/10/2024 19:44
24.44,6.82,8/10/2024 19:45
24.44,6.82,8/10/2024 19:46
24.5,6.79,8/10/2024 19:47
24.5,6.79,8/10/2024 19:48
24.44,6.79,8/10/2024 19:48
24.5,6.82,8/10/2024 19:49
24.5,6.82,8/10/2024 19:50
24.5,6.78,8/10/2024 19:51
24.5,6.81,8/10/2024 19:52
24.5,6.79,8/10/2024 19:52
24.44,6.79,8/10/2024 19:53
24.44,6.78,8/10/2024 19:54
24.44,6.8,8/10/2024 19:55
24.44,6.79,8/10/2024 19:56
24.44,6.78,8/10/2024 19:56
24.44,6.79,8/10/2024 19:57
24.44,6.79,8/10/2024 19:58
24.38,6.79,8/10/2024 19:59
24.44,6.79,8/10/2024 20:00
24.44,6.79,8/10/2024 20:01
24.44,6.78,8/10/2024 20:01
24.44,6.78,8/10/2024 20:02
24.44,6.78,8/10/2024 20:03
24.38,6.78,8/10/2024 20:04
24.44,6.8,8/10/2024 20:05
24.38,6.79,8/10/2024 20:05
24.44,6.79,8/10/2024 20:06
24.38,6.78,8/10/2024 20:07
24.38,6.79,8/10/2024 20:08
24.38,6.78,8/10/2024 20:09
24.38,6.79,8/10/2024 20:10
24.38,6.78,8/10/2024 20:10
24.38,6.78,8/10/2024 20:11
24.38,6.77,8/10/2024 20:12
24.38,6.8,8/10/2024 20:13
24.38,6.78,8/10/2024 20:14
24.38,6.81,8/10/2024 20:14
24.38,6.78,8/10/2024 20:15
24.31,6.77,8/10/2024 20:16
24.31,6.78,8/10/2024 20:17
24.38,6.77,8/10/2024 20:18
24.38,6.77,8/10/2024 20:19
24.31,6.78,8/10/2024 20:19
24.31,6.79,8/10/2024 20:20
24.38,6.77,8/10/2024 20:21
24.31,6.79,8/10/2024 20:22
24.38,6.79,8/10/2024 20:23
24.31,6.79,8/10/2024 20:23
24.31,6.78,8/10/2024 20:24
24.31,6.78,8/10/2024 20:25
24.31,6.79,8/10/2024 20:26
24.31,6.79,8/10/2024 20:27
24.31,6.77,8/10/2024 20:28
24.31,6.79,8/10/2024 20:28
24.25,6.78,8/10/2024 20:29
24.31,6.78,8/10/2024 20:30
24.25,6.77,8/10/2024 20:31
24.31,6.79,8/10/2024 20:32
24.31,6.82,8/10/2024 20:32
24.31,6.78,8/10/2024 20:33
24.25,6.78,8/10/2024 20:34
24.31,6.78,8/10/2024 20:35
24.25,6.76,8/10/2024 20:36
24.25,6.78,8/10/2024 20:36
24.31,6.78,8/10/2024 20:37
24.25,6.77,8/10/2024 20:38
24.25,6.77,8/10/2024 20:39
24.25,6.78,8/10/2024 20:40
24.25,6.78,8/10/2024 20:41
24.25,6.77,8/10/2024 20:41
24.25,6.78,8/10/2024 20:42
24.25,6.77,8/10/2024 20:43
24.25,6.76,8/10/2024 20:44
24.25,6.79,8/10/2024 20:45
24.25,6.78,8/10/2024 20:45
24.19,6.78,8/10/2024 20:46
24.19,6.78,8/10/2024 20:47
24.25,6.78,8/10/2024 20:48
24.25,6.78,8/10/2024 20:49
24.25,6.78,8/10/2024 20:50
24.25,6.77,8/10/2024 20:50
24.25,6.78,8/10/2024 20:51
24.25,6.78,8/10/2024 20:52
24.19,6.77,8/10/2024 20:53
24.25,6.79,8/10/2024 20:54
24.25,6.76,8/10/2024 20:54
24.25,6.78,8/10/2024 20:55
24.19,6.79,8/10/2024 20:56
24.19,6.76,8/10/2024 20:57
24.19,6.78,8/10/2024 20:58
24.19,6.76,8/10/2024 20:58
24.25,6.77,8/10/2024 20:59
24.19,6.82,8/10/2024 21:00
24.19,6.78,8/10/2024 21:01
24.19,6.76,8/10/2024 21:02
24.19,6.77,8/10/2024 21:03
24.19,6.77,8/10/2024 21:03
24.19,6.76,8/10/2024 21:04
24.13,6.77,8/10/2024 21:05
24.13,6.77,8/10/2024 21:06
24.19,6.77,8/10/2024 21:07
24.13,6.78,8/10/2024 21:07
24.19,6.77,8/10/2024 21:08
24.13,6.78,8/10/2024 21:09
24.13,6.78,8/10/2024 21:10
24.13,6.79,8/10/2024 21:11
24.13,6.78,8/10/2024 21:11
24.13,6.78,8/10/2024 21:12
24.13,6.76,8/10/2024 21:13
24.06,6.77,8/10/2024 21:14
24.13,6.77,8/10/2024 21:15
24.13,6.77,8/10/2024 21:16
24.13,6.77,8/10/2024 21:16
24.13,6.77,8/10/2024 21:17
24.13,6.78,8/10/2024 21:18
24.13,6.78,8/10/2024 21:19
24.13,6.77,8/10/2024 21:20
24.13,6.77,8/10/2024 21:20
24.13,6.77,8/10/2024 21:21
24.06,6.76,8/10/2024 21:22
24.13,6.79,8/10/2024 21:23
24.06,6.78,8/10/2024 21:24
24.06,6.76,8/10/2024 21:25
24.06,6.79,8/10/2024 21:25
24.06,6.78,8/10/2024 21:26
24.06,6.78,8/10/2024 21:27
24,6.77,8/10/2024 21:28
24.06,6.79,8/10/2024 21:29
24.06,6.75,8/10/2024 21:29
24.06,6.76,8/10/2024 21:30
24.06,6.77,8/10/2024 21:31
24.06,6.77,8/10/2024 21:32
24.06,6.77,8/10/2024 21:33
24.06,6.78,8/10/2024 21:33
24.06,6.76,8/10/2024 21:34
24.06,6.77,8/10/2024 21:35
24.06,6.77,8/10/2024 21:36
24.06,6.78,8/10/2024 21:37
24.06,6.77,8/10/2024 21:38
24.06,6.78,8/10/2024 21:38
24,6.78,8/10/2024 21:39
24,6.77,8/10/2024 21:40
24,6.76,8/10/2024 21:41
24,6.77,8/10/2024 21:42
24.06,6.77,8/10/2024 21:42
24,6.76,8/10/2024 21:43
24,6.78,8/10/2024 21:44
24,6.77,8/10/2024 21:45
24.06,6.77,8/10/2024 21:46
24,6.77,8/10/2024 21:47
24.06,6.77,8/10/2024 21:47
24,6.77,8/10/2024 21:48
24,6.79,8/10/2024 21:49
24,6.77,8/10/2024 21:50
24,6.77,8/10/2024 21:51
24,6.75,8/10/2024 21:51
24,6.77,8/10/2024 21:52
24,6.77,8/10/2024 21:53
24,6.77,8/10/2024 21:54
24,6.76,8/10/2024 21:55
23.94,6.78,8/10/2024 21:55
24,6.76,8/10/2024 21:56
23.94,6.76,8/10/2024 21:57
23.94,6.77,8/10/2024 21:58
23.94,6.76,8/10/2024 21:59
23.94,6.75,8/10/2024 22:00
23.94,6.78,8/10/2024 22:00
23.94,6.77,8/10/2024 22:01
23.94,6.76,8/10/2024 22:02
23.94,6.77,8/10/2024 22:03
23.94,6.78,8/10/2024 22:04
23.94,6.77,8/10/2024 22:04
23.94,6.76,8/10/2024 22:05
23.88,6.75,8/10/2024 22:06
23.94,6.75,8/10/2024 22:07
23.88,6.77,8/10/2024 22:08
23.94,6.76,8/10/2024 22:09
23.94,6.76,8/10/2024 22:09
23.94,6.77,8/10/2024 22:10
23.94,6.76,8/10/2024 22:11
23.94,6.77,8/10/2024 22:12
23.94,6.77,8/10/2024 22:13
23.94,6.76,8/10/2024 22:13
23.94,6.77,8/10/2024 22:14
23.88,6.77,8/10/2024 22:15
23.94,6.77,8/10/2024 22:16
23.88,6.76,8/10/2024 22:17
23.94,6.76,8/10/2024 22:17
23.94,6.77,8/10/2024 22:18
23.88,6.76,8/10/2024 22:19
23.88,6.77,8/10/2024 22:20
23.88,6.76,8/10/2024 22:21
23.88,6.76,8/10/2024 22:22
23.88,6.76,8/10/2024 22:22
23.88,6.77,8/10/2024 22:23
23.88,6.77,8/10/2024 22:24
23.88,6.76,8/10/2024 22:25
23.88,6.77,8/10/2024 22:26
23.88,6.77,8/10/2024 22:26
23.88,6.76,8/10/2024 22:27
23.81,6.74,8/10/2024 22:28
23.81,6.77,8/10/2024 22:29
23.88,6.76,8/10/2024 22:30
23.88,6.77,8/10/2024 22:31
23.88,6.77,8/10/2024 22:31
23.81,6.75,8/10/2024 22:32
23.81,6.75,8/10/2024 22:33
23.81,6.75,8/10/2024 22:34
23.81,6.75,8/10/2024 22:35
23.81,6.75,8/10/2024 22:35
23.81,6.76,8/10/2024 22:36
23.81,6.77,8/10/2024 22:37
23.81,6.75,8/10/2024 22:38
23.81,6.76,8/10/2024 22:39
23.81,6.78,8/10/2024 22:39
23.81,6.75,8/10/2024 22:40
23.88,6.75,8/10/2024 22:41
23.88,6.75,8/10/2024 22:42
23.81,6.82,8/10/2024 22:43
23.81,6.75,8/10/2024 22:44
23.81,6.76,8/10/2024 22:44
23.81,6.77,8/10/2024 22:45
23.81,6.75,8/10/2024 22:46
23.75,6.77,8/10/2024 22:47
23.75,6.75,8/10/2024 22:48
23.75,6.76,8/10/2024 22:48
23.75,6.75,8/10/2024 22:49
23.75,6.77,8/10/2024 22:50
23.75,6.75,8/10/2024 22:51
23.75,6.76,8/10/2024 22:52
23.75,6.77,8/10/2024 22:52
23.75,6.78,8/10/2024 22:53
23.75,6.74,8/10/2024 22:54
23.81,6.74,8/10/2024 22:55
23.75,6.78,8/10/2024 22:56
23.75,6.76,8/10/2024 22:57
23.75,6.74,8/10/2024 22:57
23.75,6.74,8/10/2024 22:58
23.75,6.76,8/10/2024 22:59
23.75,6.74,8/10/2024 23:00
23.69,6.76,8/10/2024 23:01
23.75,6.75,8/10/2024 23:01
23.75,6.75,8/10/2024 23:02
23.75,6.75,8/10/2024 23:03
23.75,6.75,8/10/2024 23:04
23.69,6.76,8/10/2024 23:05
23.75,6.77,8/10/2024 23:06
23.69,6.77,8/10/2024 23:06
23.69,6.75,8/10/2024 23:07
23.75,6.76,8/10/2024 23:08
23.69,6.75,8/10/2024 23:09
23.69,6.74,8/10/2024 23:10
23.69,6.75,8/10/2024 23:10
23.69,6.76,8/10/2024 23:11
23.69,6.76,8/10/2024 23:12
23.69,6.74,8/10/2024 23:13
23.69,6.77,8/10/2024 23:14
23.69,6.75,8/10/2024 23:14
23.69,6.76,8/10/2024 23:15
23.69,6.75,8/10/2024 23:16
23.69,6.74,8/10/2024 23:17
23.69,6.75,8/10/2024 23:18
23.63,6.73,8/10/2024 23:19
23.75,6.74,8/10/2024 23:19
23.69,6.75,8/10/2024 23:20
23.69,6.75,8/10/2024 23:21
23.69,6.76,8/10/2024 23:22
23.69,6.73,8/10/2024 23:23
23.69,6.75,8/10/2024 23:23
23.69,6.75,8/10/2024 23:24
23.69,6.76,8/10/2024 23:25
23.69,6.75,8/10/2024 23:26
23.69,6.75,8/10/2024 23:27
23.69,6.75,8/10/2024 23:28
23.63,6.75,8/10/2024 23:28
23.63,6.75,8/10/2024 23:29
23.63,6.75,8/10/2024 23:30
23.69,6.75,8/10/2024 23:31
23.63,6.73,8/10/2024 23:32
23.63,6.76,8/10/2024 23:32
23.63,6.75,8/10/2024 23:33
23.63,6.75,8/10/2024 23:34
23.56,6.75,8/10/2024 23:35
23.63,6.74,8/10/2024 23:36
23.63,6.76,8/10/2024 23:37
23.63,6.73,8/10/2024 23:37
23.63,6.76,8/10/2024 23:38
23.63,6.74,8/10/2024 23:39
23.69,6.76,8/10/2024 23:40
23.63,6.75,8/10/2024 23:41
23.63,6.74,8/10/2024 23:41
23.63,6.75,8/10/2024 23:42
23.63,6.76,8/10/2024 23:43
23.69,6.76,8/10/2024 23:44
23.63,6.74,8/10/2024 23:45
23.63,6.73,8/10/2024 23:45
23.63,6.75,8/10/2024 23:46
23.63,6.75,8/10/2024 23:47
23.56,6.77,8/10/2024 23:48
23.63,6.74,8/10/2024 23:49
23.63,6.76,8/10/2024 23:50
23.63,6.74,8/10/2024 23:50
23.63,6.76,8/10/2024 23:51
23.63,6.76,8/10/2024 23:52
23.56,6.74,8/10/2024 23:53
23.56,6.73,8/10/2024 23:54
23.56,6.74,8/10/2024 23:54
23.56,6.75,8/10/2024 23:55
23.56,6.75,8/10/2024 23:56
23.56,6.74,8/10/2024 23:57
23.56,6.75,8/10/2024 23:58
23.56,6.75,8/10/2024 23:58
23.56,6.74,8/10/2024 23:59
23.56,6.77,8/11/2024 0:00
23.56,6.75,8/11/2024 0:02
23.56,6.77,8/11/2024 0:02
23.5,6.72,8/11/2024 0:03
23.56,6.78,8/11/2024 0:04
23.56,6.76,8/11/2024 0:05
